year,couples
1978,597.8
1979,637.1
1980,720.9
1981,1041.7
1982,836.9
1983,765.4
1984,784.8
1985,831.3
1986,884.0
1987,926.7
1988,899.2
1989,937.2
1990,951.1
1991,953.6
1992,957.5
1993,915.4
1994,932.4
1995,934.1
1996,938.7
1997,914.1
1998,891.7
1999,885.3
2000,848.5
2001,805.0
2002,786.0
2003,811.4
2004,867.2
2005,823.1
2006,945.0
2007,991.4
2008,1098.3
2009,1212.2
2010,1241
2011,1302.4
2012,1323.6
2013,1346.9
2014,1306.7
2015,1224.7
2016,1142.8
2017,1063.1
2018,1013.9
2019,927.3
2020,814.3
2021,763.6